TITLE;DESCRIPTION;ADRESS;TELEPHONE;FAX;EMAIL;SITE;Latitude;Longitude;SITI;CATEGORY;REGION;ZIP
Western Greenbrier Disposal;Western Greenbrier Disposal specializes in Hauling. We are the state West Virginia, by the address Rainelle, WV 25962. Call us on the phone (304) 438-8051;311 Oregon Avenue, Rainelle, WV 25962;(304) 438-8051;311 Oregon Avenue;;;37.963023;-80.771047;Rainelle;Hauling;West Virginia;25962
Koshi Baker Design Associates;Koshi Baker Design Associates specializes in Interior Decorators Designers. We are the state Colorado, by the address Boulder, CO 80302. Call us on the phone (303) 444-9226;1900 13th Street  201, Boulder, CO 80302;(303) 444-9226;1900 13th Street  201;;http://koshi-baker.com;40.017235;-105.28513;Boulder;Interior Decorators Designers;Colorado;80302
Outdoor Elegance;Outdoor Elegance specializes in Ponds and Fountains. We are the state Texas, by the address Portland, TX 78374. Call us on the phone (361) 643-1853;406 Bayview Boulevard, Portland, TX 78374;(361) 643-1853;406 Bayview Boulevard;;;27.883868;-97.3371;Portland;Ponds and Fountains;Texas;78374
Blue Lake Builders;Blue Lake Builders specializes in Siding Contractors. We are the state Pennsylvania, by the address Denver, PA 17517. Call us on the phone (717) 336-2950;2000 W Route 897, Denver, PA 17517;(717) 336-2950;2000 W Route 897;;http://www.bluelakecustomhomes.com;40.283940;-76.183449;Denver;Siding Contractors;Pennsylvania;17517
Giordano Construction Inc;Giordano Construction Inc specializes in Concrete Foundations. We are the state Texas, by the address Houston, TX 77099. Call us on the phone (281) 561-7419;29.670869, Houston, TX 77099;(281) 561-7419;29.670869;;http://www.gci-a1.com;29.670869;-95.58661;Houston;Concrete Foundations;Texas;77099
"Freitas Electric &; Pump Service";"Freitas Electric &; Pump Service specializes in Building Construction Equipment Machinery Manufacturers. We are the state California, by the address Tracy, CA 95304. Call us on the phone (209) 835-2814";5362 G Street, Tracy, CA 95304;(209) 835-2814;5362 G Street;;;37.753961;-121.372281;Tracy;Building Construction Equipment Machinery Manufacturers;California;95304
Well Built Fence Inc;Well Built Fence Inc specializes in Fencing Contractors. We are the state Florida, by the address Gainesville, FL 32608. Call us on the phone (352) 332-3155;8620 Southwest 111th Terrace, Gainesville, FL 32608;(352) 332-3155;8620 Southwest 111th Terrace;;http://www.wellbuiltfence.com;29.575229;-82.461774;Gainesville;Fencing Contractors;Florida;32608
Works Precision;Works Precision specializes in Signage. We are the state Illinois, by the address Schaumburg, IL 60193. Call us on the phone (630) 523-1100;523 Hazel Drive, Schaumburg, IL 60193;(630) 523-1100;523 Hazel Drive;;;42.017370;-88.084974;Schaumburg;Signage;Illinois;60193
Eberhardt Professional Builders, Inc;Eberhardt Professional Builders, Inc specializes in Remodeling Repairing. We are the state Pennsylvania, by the address Pittsburgh, PA 15239. Call us on the phone (412) 795-2101;200 Carriage Boulevard, Pittsburgh, PA 15239;(412) 795-2101;200 Carriage Boulevard;e.probuilders@gmail.com;http://www.buildgreenfriendly.com/;40.446868;-79.938173;Pittsburgh;Remodeling Repairing;Pennsylvania;15239
Tankless Water Heaters by Sets;Tankless Water Heaters by Sets specializes in Plumbing Fixtures Supplies Retail. We are the state Florida, by the address Fort Lauderdale, FL 33308. Call us on the phone (954) 772-3732;2500 East Commercial Boulevard, Fort Lauderdale, FL 33308;(954) 772-3732;2500 East Commercial Boulevard;;http://www.tankless-water-heater.com;26.188901;-80.123842;Fort Lauderdale;Plumbing Fixtures Supplies Retail;Florida;33308
Chase;Chase specializes in Construction Loans. We are the state Michigan, by the address Lansing, MI 48933. Call us on the phone (517) 487-1037;201 S Washington Square, Lansing, MI 48933;(517) 487-1037;201 S Washington Square;;;42.683046;-84.562786;Lansing;Construction Loans;Michigan;48933
U-Haul CO;U-Haul CO specializes in Hauling. We are the state Minnesota, by the address Marshall, MN 56258. Call us on the phone (507) 532-0882;1100 E Main Street, Marshall, MN 56258;(507) 532-0882;1100 E Main Street;;http://www.uhaul.com;44.436784;-95.774170;Marshall;Hauling;Minnesota;56258
Carolina Rent To Own;Carolina Rent To Own specializes in Tools. We are the state North Carolina, by the address Charlotte, NC 28217. Call us on the phone (704) 529-7300;4903 South Boulevard # Centre, Charlotte, NC 28217;(704) 529-7300;4903 South Boulevard # Centre;;;35.0972;-81.00785;Charlotte;Tools;North Carolina;28217
Gerry's Custom Painting;Gerry's Custom Painting specializes in Paint Wholesale. We are the state Colorado, by the address Parker, CO 80134. Call us on the phone (720) 842-4511;11872 Hayfork Court, Parker, CO 80134;(720) 842-4511;11872 Hayfork Court;;;39.505466;-104.7349;Parker;Paint Wholesale;Colorado;80134
"Cypress Creek Stone &; Landscape";"Cypress Creek Stone &; Landscape specializes in Masonry Contractors. We are the state Florida, by the address Sanford, FL 32771. Call us on the phone (407) 936-1385";655 Progress Way, Sanford, FL 32771;(407) 936-1385;655 Progress Way;;;28.801307;-81.28504;Sanford;Masonry Contractors;Florida;32771
FIRST PAINTING;FIRST PAINTING specializes in Paint Wholesale. We are the state Illinois, by the address Crystal Lake, IL 60014. Call us on the phone (815) 651-0255;42.230755, Crystal Lake, IL 60014;(815) 651-0255;42.230755;firstpainting@comcast.net;;42.230755;-88.33236;Crystal Lake;Paint Wholesale;Illinois;60014
"Arentco Rentals &; Sales";"Arentco Rentals &; Sales specializes in Heavy Construction. We are the state Texas, by the address Lewisville, TX 75067. Call us on the phone (972) 221-1544";1204 1%2f2 N I-35, Lewisville, TX 75067;(972) 221-1544;1204 1%2f2 N I-35;;http://www.aarental.org;33.04503;-97.02682;Lewisville;Heavy Construction;Texas;75067
Redi-Mix Inc;Redi-Mix Inc specializes in Buildings Concrete. We are the state Texas, by the address Pilot Point, TX 76258. Call us on the phone (940) 686-2204;300 W Broad Street, Pilot Point, TX 76258;(940) 686-2204;300 W Broad Street;;;33.400727;-96.963145;Pilot Point;Buildings Concrete;Texas;76258
